image,band,method,inlier_residual,num_inliers,NMI,GCC,crop_size
DJI_20251107113232_0001,G,Initial,NaN,10733,0.004944,0.036487,N/A
DJI_20251107113232_0001,G,Global,0.6249,4746,0.089677,0.334133,3440*3204
DJI_20251107113232_0001,G,Proposed,0.5884,10733,0.099906,0.380080,4327*3224
DJI_20251107113232_0001,R,Initial,NaN,7559,0.006549,0.047183,N/A
DJI_20251107113232_0001,R,Global,0.5581,3736,0.054383,0.277487,3440*3204
DJI_20251107113232_0001,R,Proposed,0.5324,7559,0.057761,0.299614,4327*3224
DJI_20251107113232_0001,NIR,Initial,NaN,9924,0.007161,0.044770,N/A
DJI_20251107113232_0001,NIR,Global,0.6205,4557,0.082991,0.322677,3440*3204
DJI_20251107113232_0001,NIR,Proposed,0.6586,9924,0.092821,0.363544,4327*3224
DJI_20251107113232_0001,RE,Initial,NaN,8312,0.005078,0.028101,N/A
DJI_20251107113232_0001,RE,Global,0.6619,3755,0.065878,0.271258,3440*3204
DJI_20251107113232_0001,RE,Proposed,0.8993,8312,0.072771,0.314119,4327*3224
DJI_20251107113234_0002,G,Initial,NaN,9769,0.004959,0.035421,N/A
DJI_20251107113234_0002,G,Global,0.6591,4382,0.080488,0.290175,3322*3196
DJI_20251107113234_0002,G,Proposed,0.7114,9769,0.090486,0.337494,4311*3204
DJI_20251107113234_0002,R,Initial,NaN,7243,0.005448,0.041908,N/A
DJI_20251107113234_0002,R,Global,0.6324,3675,0.053310,0.268858,3322*3196
DJI_20251107113234_0002,R,Proposed,0.5476,7243,0.056885,0.290089,4311*3204
DJI_20251107113234_0002,NIR,Initial,NaN,9288,0.007059,0.044970,N/A
DJI_20251107113234_0002,NIR,Global,0.5659,4069,0.079484,0.285988,3322*3196
DJI_20251107113234_0002,NIR,Proposed,0.5394,9288,0.087200,0.323898,4311*3204
DJI_20251107113234_0002,RE,Initial,NaN,8035,0.004857,0.027025,N/A
DJI_20251107113234_0002,RE,Global,0.7555,3509,0.059443,0.261793,3322*3196
DJI_20251107113234_0002,RE,Proposed,0.7906,8035,0.065569,0.289360,4311*3204
DJI_20251107113238_0004,G,Initial,NaN,8598,0.004063,0.039914,N/A
DJI_20251107113238_0004,G,Global,0.6357,3792,0.070297,0.275196,3670*3189
DJI_20251107113238_0004,G,Proposed,0.5589,8598,0.079228,0.316380,4313*3184
DJI_20251107113238_0004,R,Initial,NaN,5305,0.005719,0.049181,N/A
DJI_20251107113238_0004,R,Global,1.0358,2610,0.039809,0.212304,3670*3189
DJI_20251107113238_0004,R,Proposed,0.5872,5305,0.042335,0.230087,4313*3184
DJI_20251107113238_0004,NIR,Initial,NaN,7850,0.006321,0.049939,N/A
DJI_20251107113238_0004,NIR,Global,0.6204,3501,0.067056,0.263755,3670*3189
DJI_20251107113238_0004,NIR,Proposed,0.5793,7850,0.075650,0.305655,4313*3184
DJI_20251107113238_0004,RE,Initial,NaN,6511,0.004691,0.031836,N/A
DJI_20251107113238_0004,RE,Global,0.8524,3007,0.049555,0.220134,3670*3189
DJI_20251107113238_0004,RE,Proposed,0.7368,6511,0.054181,0.246677,4313*3184
DJI_20251107113242_0006,G,Initial,NaN,4945,0.002807,0.016205,N/A
DJI_20251107113242_0006,G,Global,0.9228,2193,0.048704,0.173524,4225*3168
DJI_20251107113242_0006,G,Proposed,0.9460,4945,0.054560,0.200266,4305*3188
DJI_20251107113242_0006,R,Initial,NaN,2450,0.003853,0.017997,N/A
DJI_20251107113242_0006,R,Global,0.6429,1467,0.025622,0.143051,4225*3168
DJI_20251107113242_0006,R,Proposed,1.1298,2450,0.027111,0.155952,4305*3188
DJI_20251107113242_0006,NIR,Initial,NaN,4572,0.004025,0.015124,N/A
DJI_20251107113242_0006,NIR,Global,0.8647,2050,0.041640,0.164356,4225*3168
DJI_20251107113242_0006,NIR,Proposed,0.7512,4572,0.046458,0.192322,4305*3188
DJI_20251107113242_0006,RE,Initial,NaN,2786,0.002296,0.006075,N/A
DJI_20251107113242_0006,RE,Global,1.1177,1365,0.026709,0.112681,4225*3168
DJI_20251107113242_0006,RE,Proposed,1.1046,2786,0.030002,0.130829,4305*3188
DJI_20251107113246_0008,G,Initial,NaN,6791,0.003574,0.019847,N/A
DJI_20251107113246_0008,G,Global,0.6356,3412,0.066864,0.250510,3864*2672
DJI_20251107113246_0008,G,Proposed,0.5826,6791,0.072508,0.276520,4315*3191
DJI_20251107113246_0008,R,Initial,NaN,5215,0.006508,0.044128,N/A
DJI_20251107113246_0008,R,Global,0.6257,2670,0.043280,0.231028,3864*2672
DJI_20251107113246_0008,R,Proposed,0.6152,5215,0.045878,0.251579,4315*3191
DJI_20251107113246_0008,NIR,Initial,NaN,6731,0.006080,0.027193,N/A
DJI_20251107113246_0008,NIR,Global,0.5965,2937,0.068392,0.230182,3864*2672
DJI_20251107113246_0008,NIR,Proposed,0.7254,6731,0.076633,0.262777,4315*3191
DJI_20251107113246_0008,RE,Initial,NaN,5523,0.005476,0.026252,N/A
DJI_20251107113246_0008,RE,Global,1.0726,2549,0.049727,0.209195,3864*2672
DJI_20251107113246_0008,RE,Proposed,0.6116,5523,0.055248,0.238255,4315*3191
DJI_20251107113252_0011,G,Initial,NaN,5197,0.002564,0.009856,N/A
DJI_20251107113252_0011,G,Global,1.0525,2204,0.047834,0.162785,4186*3179
DJI_20251107113252_0011,G,Proposed,0.8575,5197,0.053065,0.188899,4308*3181
DJI_20251107113252_0011,R,Initial,NaN,3240,0.006113,0.035669,N/A
DJI_20251107113252_0011,R,Global,1.0000,1743,0.032616,0.150938,4186*3179
DJI_20251107113252_0011,R,Proposed,0.9831,3240,0.034643,0.170701,4308*3181
DJI_20251107113252_0011,NIR,Initial,NaN,5235,0.003972,0.016597,N/A
DJI_20251107113252_0011,NIR,Global,1.0728,2292,0.049323,0.185762,4186*3179
DJI_20251107113252_0011,NIR,Proposed,0.5664,5235,0.054159,0.208237,4308*3181
DJI_20251107113252_0011,RE,Initial,NaN,4271,0.003763,0.008233,N/A
DJI_20251107113252_0011,RE,Global,1.0022,2014,0.037966,0.176214,4186*3179
DJI_20251107113252_0011,RE,Proposed,0.8300,4271,0.040670,0.197097,4308*3181
DJI_20251107113256_0013,G,Initial,NaN,6519,0.003440,0.030438,N/A
DJI_20251107113256_0013,G,Global,1.0019,2837,0.060595,0.236365,4314*2075
DJI_20251107113256_0013,G,Proposed,0.9207,6519,0.066205,0.262307,4305*3172
DJI_20251107113256_0013,R,Initial,NaN,4850,0.008370,0.051517,N/A
DJI_20251107113256_0013,R,Global,0.9257,2437,0.046164,0.222915,4314*2075
DJI_20251107113256_0013,R,Proposed,0.6157,4850,0.048973,0.250906,4305*3172
DJI_20251107113256_0013,NIR,Initial,NaN,6485,0.005743,0.037634,N/A
DJI_20251107113256_0013,NIR,Global,0.6320,2947,0.064944,0.234214,4314*2075
DJI_20251107113256_0013,NIR,Proposed,0.5550,6485,0.072457,0.262948,4305*3172
DJI_20251107113256_0013,RE,Initial,NaN,5150,0.005608,0.026178,N/A
DJI_20251107113256_0013,RE,Global,1.1190,2299,0.045811,0.192387,4314*2075
DJI_20251107113256_0013,RE,Proposed,0.8892,5150,0.049692,0.219243,4305*3172
DJI_20251107113258_0014,G,Initial,NaN,6697,0.004706,0.031155,N/A
DJI_20251107113258_0014,G,Global,0.6504,3070,0.066833,0.252838,3876*2870
DJI_20251107113258_0014,G,Proposed,0.6505,6697,0.072271,0.281408,4298*3155
DJI_20251107113258_0014,R,Initial,NaN,4016,0.010260,0.053660,N/A
DJI_20251107113258_0014,R,Global,1.0946,2249,0.045418,0.231581,3876*2870
DJI_20251107113258_0014,R,Proposed,0.9999,4016,0.047572,0.253096,4298*3155
DJI_20251107113258_0014,NIR,Initial,NaN,5699,0.007386,0.041246,N/A
DJI_20251107113258_0014,NIR,Global,0.9581,2722,0.064759,0.223310,3876*2870
DJI_20251107113258_0014,NIR,Proposed,0.6133,5699,0.070267,0.249136,4298*3155
DJI_20251107113258_0014,RE,Initial,NaN,5051,0.007021,0.028224,N/A
DJI_20251107113258_0014,RE,Global,0.6677,2272,0.050146,0.212285,3876*2870
DJI_20251107113258_0014,RE,Proposed,0.6382,5051,0.054096,0.241712,4298*3155
DJI_20251107113302_0016,G,Initial,NaN,6312,0.004305,0.024324,N/A
DJI_20251107113302_0016,G,Global,0.6713,2839,0.064407,0.242468,3863*3161
DJI_20251107113302_0016,G,Proposed,0.7984,6312,0.070544,0.272310,4309*3158
DJI_20251107113302_0016,R,Initial,NaN,4209,0.009385,0.053680,N/A
DJI_20251107113302_0016,R,Global,0.6680,2007,0.041178,0.205275,3863*3161
DJI_20251107113302_0016,R,Proposed,0.8919,4209,0.043048,0.223000,4309*3158
DJI_20251107113302_0016,NIR,Initial,NaN,5079,0.007383,0.036100,N/A
DJI_20251107113302_0016,NIR,Global,0.7179,2440,0.056907,0.216253,3863*3161
DJI_20251107113302_0016,NIR,Proposed,0.8040,5079,0.061002,0.239353,4309*3158
DJI_20251107113302_0016,RE,Initial,NaN,4381,0.007166,0.030502,N/A
DJI_20251107113302_0016,RE,Global,1.1208,2077,0.044474,0.192500,3863*3161
DJI_20251107113302_0016,RE,Proposed,0.6194,4381,0.047892,0.216335,4309*3158
DJI_20251107113304_0017,G,Initial,NaN,6466,0.003684,0.025941,N/A
DJI_20251107113304_0017,G,Global,0.6063,3030,0.068961,0.256002,3934*3162
DJI_20251107113304_0017,G,Proposed,0.6748,6466,0.074629,0.280175,4295*3160
DJI_20251107113304_0017,R,Initial,NaN,3824,0.007451,0.055627,N/A
DJI_20251107113304_0017,R,Global,1.0706,2014,0.042306,0.207182,3934*3162
DJI_20251107113304_0017,R,Proposed,0.9344,3824,0.044203,0.222251,4295*3160
DJI_20251107113304_0017,NIR,Initial,NaN,5955,0.006272,0.036757,N/A
DJI_20251107113304_0017,NIR,Global,0.6166,2918,0.064459,0.249473,3934*3162
DJI_20251107113304_0017,NIR,Proposed,0.5471,5955,0.068345,0.269035,4295*3160
DJI_20251107113304_0017,RE,Initial,NaN,4542,0.005442,0.025906,N/A
DJI_20251107113304_0017,RE,Global,0.8000,2260,0.050460,0.226905,3934*3162
DJI_20251107113304_0017,RE,Proposed,0.8541,4542,0.053946,0.250977,4295*3160
DJI_20251107113306_0018,G,Initial,NaN,6056,0.003126,0.023557,N/A
DJI_20251107113306_0018,G,Global,0.6873,2735,0.068547,0.230476,4164*3049
DJI_20251107113306_0018,G,Proposed,0.6957,6056,0.076805,0.264589,4308*3220
DJI_20251107113306_0018,R,Initial,NaN,3002,0.008847,0.060993,N/A
DJI_20251107113306_0018,R,Global,1.0977,1745,0.039305,0.186825,4164*3049
DJI_20251107113306_0018,R,Proposed,1.0844,3002,0.041077,0.202660,4308*3220
DJI_20251107113306_0018,NIR,Initial,NaN,5034,0.005476,0.035601,N/A
DJI_20251107113306_0018,NIR,Global,0.8422,2449,0.063956,0.211459,4164*3049
DJI_20251107113306_0018,NIR,Proposed,0.6127,5034,0.070913,0.237721,4308*3220
DJI_20251107113306_0018,RE,Initial,NaN,3309,0.004267,0.018521,N/A
DJI_20251107113306_0018,RE,Global,1.1466,1848,0.050939,0.173705,4164*3049
DJI_20251107113306_0018,RE,Proposed,0.9783,3309,0.055112,0.197090,4308*3220
DJI_20251107113310_0020,G,Initial,NaN,5911,0.003723,0.027878,N/A
DJI_20251107113310_0020,G,Global,0.7910,2874,0.068008,0.223228,4296*2655
DJI_20251107113310_0020,G,Proposed,0.6109,5911,0.072970,0.251248,4333*3233
DJI_20251107113310_0020,R,Initial,NaN,3220,0.008584,0.060499,N/A
DJI_20251107113310_0020,R,Global,1.1097,1737,0.040435,0.189814,4296*2655
DJI_20251107113310_0020,R,Proposed,1.0795,3220,0.043050,0.209941,4333*3233
DJI_20251107113310_0020,NIR,Initial,NaN,4400,0.006935,0.039828,N/A
DJI_20251107113310_0020,NIR,Global,1.1869,2295,0.068715,0.215505,4296*2655
DJI_20251107113310_0020,NIR,Proposed,0.9873,4400,0.074676,0.243844,4333*3233
DJI_20251107113310_0020,RE,Initial,NaN,3647,0.005181,0.021316,N/A
DJI_20251107113310_0020,RE,Global,1.1620,2023,0.052687,0.187185,4296*2655
